2272, 2098, 2268, 2321
0.010, -0.000, -0.000, -6.074
2292, 2096, 2264, 2320
0.010, -0.000, -0.000, 8.296
2272, 2083, 2274, 2316
0.031, -0.000, -0.000, 104.097
2280, 2088, 2272, 2322
0.031, -0.000, 0.000, 22.666
2274, 2088, 2282, 2325
0.031, -0.000, -0.000, 20.271
2272, 2096, 2272, 2328
0.031, -0.000, -0.000, 15.481
2274, 2084, 2272, 2324
0.032, -0.000, -0.000, 46.617
2272, 2090, 2272, 2321
0.043, -0.000, -0.000, 70.567
2272, 2088, 2272, 2336
1.048, -0.001, -0.000, -226.416
2274, 2090, 2278, 2324
2.016, -0.001, -0.000, 58.592
2288, 2100, 2277, 2345
4.854, 0.001, 0.002, 132.837
2282, 2084, 2288, 2376
9.395, 0.017, 0.005, -39.604
2300, 2089, 2304, 2404
14.518, 0.053, 0.007, -367.722
2285, 2104, 2320, 2402
16.540, 0.067, 0.006, 8.296
2289, 2107, 2336, 2450
21.229, 0.109, 0.012, 58.592
2310, 2120, 2338, 2470
23.979, 0.144, 0.014, 250.193
2297, 2133, 2344, 2501
26.714, 0.187, 0.018, 39.432
2316, 2178, 2368, 2560
31.272, 0.279, 0.022, 278.934
2310, 2203, 2384, 2600
34.998, 0.368, 0.025, 60.987
2325, 2240, 2400, 2651
38.421, 0.460, 0.028, -65.949
2336, 2243, 2392, 2660
38.592, 0.465, 0.028, 326.834
2340, 2244, 2400, 2654
38.608, 0.465, 0.029, 151.998
2336, 2272, 2416, 2706
41.808, 0.562, 0.032, -133.010
2352, 2288, 2434, 2768
45.040, 0.669, 0.035, -269.526
2352, 2296, 2434, 2757
45.238, 0.676, 0.035, 58.592
2372, 2296, 2447, 2782
46.624, 0.723, 0.034, -144.985
2354, 2292, 2440, 2784
46.694, 0.726, 0.033, -18.049
2370, 2304, 2448, 2784
46.683, 0.725, 0.036, 20.271
2349, 2277, 2432, 2744
44.159, 0.640, 0.032, 82.542
2328, 2240, 2398, 2660
38.819, 0.482, 0.027, -121.035
2304, 2166, 2372, 2538
31.789, 0.329, 0.017, -99.480
2292, 2122, 2352, 2479
26.014, 0.247, 0.012, -209.650
2288, 2092, 2324, 2416
17.335, 0.167, 0.006, -159.355
2280, 2095, 2288, 2372
9.263, 0.138, 0.001, 53.802
2272, 2088, 2272, 2320
1.924, 0.139, -0.002, 118.467
2266, 2096, 2266, 2296
-4.105, 0.157, -0.003, -75.529
2272, 2084, 2251, 2281
-9.815, 0.181, -0.005, 118.467
2272, 2096, 2244, 2264
-14.234, 0.208, -0.007, 37.037
2256, 2091, 2242, 2248
-19.089, 0.250, -0.011, 96.912
2260, 2084, 2221, 2235
-23.065, 0.297, -0.013, -73.134
2258, 2088, 2214, 2232
-27.043, 0.354, -0.016, 108.887
2256, 2083, 2216, 2224
-30.639, 0.417, -0.019, -3.679
2248, 2080, 2204, 2216
-34.388, 0.487, -0.019, 53.802
2248, 2084, 2210, 2217
-34.452, 0.488, -0.019, 87.332
2248, 2096, 2208, 2224
-31.645, 0.436, -0.018, 305.279
2256, 2097, 2234, 2232
-24.478, 0.315, -0.016, 58.592
2258, 2100, 2242, 2264
-16.408, 0.201, -0.013, -106.665
2259, 2100, 2259, 2280
-9.614, 0.121, -0.011, -180.910
2272, 2082, 2260, 2296
-4.795, 0.073, -0.009, 135.232
2272, 2100, 2274, 2308
-1.738, 0.050, -0.006, -379.697
2264, 2101, 2272, 2304
-2.298, 0.053, -0.005, -1.284
2264, 2091, 2272, 2296
-2.298, 0.053, -0.005, 5.901
2272, 2084, 2258, 2304
-2.298, 0.053, -0.006, -10.864
2264, 2085, 2265, 2317
-2.298, 0.053, -0.006, 27.457
2272, 2095, 2274, 2308
-2.298, 0.053, -0.007, 8.296
2288, 2085, 2278, 2304
-2.298, 0.053, -0.007, 5.901
2272, 2080, 2267, 2304
-2.298, 0.053, -0.007, 15.481
2272, 2084, 2272, 2314
-2.298, 0.053, -0.007, -13.259
2274, 2096, 2268, 2304
-2.298, 0.053, -0.007, 15.481
2272, 2101, 2272, 2304
-2.321, 0.054, -0.007, 13.086
2266, 2081, 2257, 2304
-2.321, 0.054, -0.008, 10.691
2284, 2080, 2270, 2305
-2.508, 0.055, -0.008, -137.800
2276, 2086, 2263, 2305
-3.421, 0.062, -0.008, -89.899
2267, 2088, 2272, 2289
-3.735, 0.064, -0.015, 72.962
2272, 2098, 2265, 2290
-4.075, 0.068, -0.015, 266.958
